,Status,Meal plan identifier,Segmentation,Lenght of the stay,Day of week,Room type ok,Non refundable
268,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Standard,Free cancellation
269,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
270,Confirmed,RO,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
271,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
272,Confirmed,BB,Corporate/Mice,4,Not Weekend,Double Standard,Free cancellation
273,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
274,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Deluxe,Free cancellation
275,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Non refundable
276,Confirmed,RO,Global Distribution Systems (GDS),2,Not Weekend,Double Standard,Free cancellation
277,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Non refundable
278,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
279,Confirmed,BB,Tour Operator,5,Not Weekend,Double Standard,Free cancellation
280,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
281,Confirmed,RO,Global Distribution Systems (GDS),4,Not Weekend,Double Standard,Free cancellation
282,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
283,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
284,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
285,Confirmed,RO,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
286,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Deluxe,Free cancellation
287,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
288,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
289,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Deluxe,Free cancellation
290,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
291,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Non refundable
292,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Free cancellation
293,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
294,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
295,Confirmed,BB,Travel agency,2,Not Weekend,Double Standard,Free cancellation
296,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Standard,Free cancellation
297,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Standard,Free cancellation
298,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
299,Confirmed,BB,Online Travel agency,5,Not Weekend,Double Standard,Free cancellation
300,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
301,Confirmed,BB,Flash sales / Boxes,5,Not Weekend,Double Standard,Free cancellation
302,Confirmed,BB,Tour Operator,6,Not Weekend,Double Standard,Free cancellation
303,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
304,Confirmed,BB,Tour Operator,4,Not Weekend,Double Standard,Free cancellation
305,Confirmed,BB,Flash sales / Boxes,7,Not Weekend,Double Deluxe,Free cancellation
306,Confirmed,BB,Corporate/Mice,3,Not Weekend,Double Standard,Free cancellation
307,Confirmed,RO,Online Travel agency,7,Not Weekend,Double Standard,Non refundable
308,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Deluxe,Free cancellation
309,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
310,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
311,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
312,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
313,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
314,Confirmed,BB,Corporate/Mice,5,Not Weekend,Double Standard,Free cancellation
315,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
316,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
317,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
318,Confirmed,BB,Travel agency,5,Not Weekend,Double Standard,Free cancellation
319,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
320,Confirmed,BB,Tour Operator,4,Not Weekend,Double Standard,Free cancellation
321,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
322,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
323,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
324,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
325,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
