Numero Reserva,Cliente Comercial,Fecha llegada,Fecha de salida,Tipo de habitación,Estado,Identificador régimen alimenticio,Tarifa,Fecha de Creación,Nº de pax del tipo 1 alojados,Fecha de cancelación,VIP,Identificador segmento de mercado,Identificador procedencia de negocio,País,Identificador de canal
5482530,TRAVELCLICK,28/6/2019,29/6/2019,DBLSTD,Confirmada,BB,B_BAR,27/6/2019,1,,,CORP,EMP,US,GDS
5482804,COMPANIES,27/6/2019,28/6/2019,DBLSTD,Confirmada,BB,C_165/185,27/6/2019,1,,5,CORP,EMP,ES,EMAIL
5483069,RED LETTER DAYS,29/6/2019,30/6/2019,DBLSTD,Confirmada,BB,BFL_RED,27/6/2019,2,,,ONL,ONL,GB,EMAIL
5484171,CTRIP,28/6/2019,30/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,27/6/2019,1,,,ONL,ONL,HK,XML
5484664,HOTEL TONIGHT UK,28/6/2019,30/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,27/6/2019,2,,,ONL,ONL,GB,EMAIL
5485228,EXPEDIA,28/6/2019,29/6/2019,DBLSTD,Confirmada,RO,X_B_PKNR2,27/6/2019,2,,,ONL,ONL,US,XML
5485321,HOTEL TONIGHT UK,27/6/2019,28/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,27/6/2019,2,,,ONL,ONL,GB,EMAIL
5485431,HOTEL TONIGHT UK,28/6/2019,29/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,27/6/2019,2,,,ONL,ONL,GB,EMAIL
5485690,BOOKING.COM,28/6/2019,1/7/2019,DBLSTDST,Confirmada,RO,X_BAR_NR,27/6/2019,1,,,ONL,ONL,,XML
5485752,CLUB H10,29/6/2019,30/6/2019,DBLSTD,Confirmada,RO,W_BAR_NR,27/6/2019,2,,,DIR,DIR,ES,WEB
5485858,BOOKING.COM,28/6/2019,30/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,27/6/2019,2,,,ONL,ONL,,XML
5485922,CTRIP,29/6/2019,1/7/2019,DBLSTDST,Confirmada,RO,X_BAR_NR,27/6/2019,1,,,ONL,ONL,HK,XML
5486131,DIRECT,27/6/2019,28/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,27/6/2019,1,,,DIR,DIR,ES,EMAIL
5486137,DIRECT,27/6/2019,28/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,27/6/2019,2,,,DIR,DIR,ES,EMAIL
5486660,DIRECT,28/6/2019,29/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,28/6/2019,1,,,DIR,DIR,ES,EMAIL
5486853,CLUB H10,28/6/2019,29/6/2019,TPLSTD,Confirmada,RO,W_BAR_NR,28/6/2019,3,,,DIR,DIR,ES,WEB
5487414,HOTEL TONIGHT UK,28/6/2019,1/7/2019,DBLSTD,Confirmada,RO,B_BAR_NR,28/6/2019,2,,,ONL,ONL,GB,EMAIL
5487591,RED LETTER DAYS,29/6/2019,30/6/2019,DBLSTD,Confirmada,BB,BFL_RED,28/6/2019,2,,,ONL,ONL,GB,EMAIL
5487741,BOOKING.COM,28/6/2019,29/6/2019,DBLSTDST,Confirmada,RO,X_BAR_NR,28/6/2019,2,,,ONL,ONL,,XML
5487742,AGODA COMPANY PTE,28/6/2019,29/6/2019,DBLSTD,Confirmada,RO,X_BAR_PKUP,28/6/2019,1,,,ONL,ONL,SG,XML
5487843,BOOKING.COM,28/6/2019,29/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,28/6/2019,2,,,ONL,ONL,,XML
5488059,RED LETTER DAYS,29/6/2019,30/6/2019,DBLSTD,Confirmada,BB,BFL_RED,28/6/2019,2,,,ONL,ONL,GB,EMAIL
5488255,WEB H10,30/6/2019,1/7/2019,DBLSTDST,Confirmada,RO,W_BAR_NR,28/6/2019,1,,,DIR,DIR,ES,WEB
5488259,EXPEDIA,29/6/2019,30/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,28/6/2019,2,,,ONL,ONL,US,XML
5488502,BOOKING.COM,28/6/2019,29/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,28/6/2019,2,,,ONL,ONL,,XML
5488595,TUI NEDERLAND N.V.,28/6/2019,30/6/2019,DBLSTDST,Confirmada,BB,F_W18_S19,28/6/2019,2,,,TTOO,HOL,NL,EMAIL
5489060,EXPEDIA,29/6/2019,1/7/2019,DBLSTD,Confirmada,RO,X_BAR_NR,28/6/2019,1,,,ONL,ONL,US,XML
5489304,HOTEL TONIGHT UK,28/6/2019,29/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,28/6/2019,2,,,ONL,ONL,GB,EMAIL
5489660,EXPEDIA,28/6/2019,1/7/2019,DBLSTD,Confirmada,RO,X_BAR_NR,28/6/2019,2,,,ONL,ONL,US,XML
5489891,BOOKING.COM,28/6/2019,29/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,28/6/2019,1,,,ONL,ONL,,XML
5489908,HOTEL TONIGHT UK,29/6/2019,30/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,28/6/2019,2,,,ONL,ONL,GB,EMAIL
5489953,DIRECT,28/6/2019,29/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,28/6/2019,2,,,DIR,DIR,ES,EMAIL
5489956,DIRECT,28/6/2019,29/6/2019,DBLSTDST,Confirmada,RO,B_BAR_NR,28/6/2019,1,,,DIR,DIR,ES,EMAIL
5489967,BOOKING.COM,29/6/2019,1/7/2019,DBLSTDST,Confirmada,RO,X_BAR_NR,28/6/2019,1,,,ONL,ONL,,XML
5490271,HOTEL TONIGHT UK,29/6/2019,30/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,29/6/2019,2,,,ONL,ONL,GB,EMAIL
5490272,HOTEL TONIGHT UK,29/6/2019,30/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,29/6/2019,2,,,ONL,ONL,GB,EMAIL
5491647,BOOKING.COM,30/6/2019,1/7/2019,DBLSTD,Confirmada,RO,X_BAR_NR,29/6/2019,1,,,ONL,ONL,,XML
5492004,HOTEL TONIGHT UK,29/6/2019,30/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,29/6/2019,2,,,ONL,ONL,GB,EMAIL
5492323,HOTEL TONIGHT UK,29/6/2019,1/7/2019,DBLSTD,Confirmada,RO,B_BAR_NR,29/6/2019,2,,,ONL,ONL,GB,EMAIL
5492838,BOOKING.COM,30/6/2019,1/7/2019,DBLSTD,Confirmada,RO,X_BAR_NR,30/6/2019,1,,,ONL,ONL,,XML
5493999,HOTEL TONIGHT UK,30/6/2019,1/7/2019,DBLSTD,Confirmada,RO,B_BAR_NR,30/6/2019,2,,,ONL,ONL,GB,EMAIL
4048501,FTI TOURISTIK,13/6/2019,16/6/2019,DBLSTD,Confirmada,BB,F_W18_S19,14/6/2018,2,,,TTOO,NO,DE,EMAIL
4208605,AGODA COMPANY PTE,21/6/2019,24/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,1/8/2018,2,,,ONL,ONL,SG,XML
4208606,AGODA COMPANY PTE,21/6/2019,24/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,1/8/2018,2,,,ONL,ONL,SG,XML
4243760,EUROPE EXPRESS,15/6/2019,18/6/2019,DBLSTD,Confirmada,BB,F_W18_S19,11/8/2018,2,,,TTOO,USA,US,EMAIL
4258898,EXPEDIA,13/6/2019,16/6/2019,DBLSTD,Confirmada,BB,X_B_PK2,16/8/2018,2,,,ONL,ONL,US,XML
4258971,EXPEDIA,30/6/2019,1/7/2019,DBLSTD,Confirmada,BB,X_BAR,16/8/2018,2,,,ONL,ONL,US,XML
4259185,EXPEDIA,15/6/2019,16/6/2019,DBLSTD,Confirmada,BB,X_BAR,16/8/2018,2,,,ONL,ONL,US,XML
4259186,EXPEDIA,30/6/2019,1/7/2019,DBLSTD,Confirmada,BB,X_BAR,16/8/2018,2,,,ONL,ONL,US,XML
4285973,RED LETTER DAYS,22/6/2019,23/6/2019,DBLSTD,Confirmada,BB,BFL_RED,24/8/2018,2,,,ONL,ONL,GB,EMAIL
4323624,DER TOURISTIK DEUTSCHLAND,12/6/2019,17/6/2019,DBLSTD,Confirmada,BB,F_W18_S19,5/9/2018,2,,,TTOO,GER,DE,EMAIL
4331267,SUNHOTELS,27/6/2019,29/6/2019,DBLSTD,Confirmada,BB,F_W18_S19,7/9/2018,2,,,TTOO,NO,AE,EMAIL
4334998,DER TOURISTIK DEUTSCHLAND,13/6/2019,18/6/2019,DBLSTD,Confirmada,BB,F_W18_S19,8/9/2018,2,,,TTOO,GER,DE,EMAIL
4338379,BOOKING.COM,19/6/2019,20/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,9/9/2018,1,,,ONL,ONL,,XML
4338380,BOOKING.COM,19/6/2019,20/6/2019,TPLSTD,Confirmada,RO,X_BAR_NR,9/9/2018,3,,,ONL,ONL,,XML
4338381,BOOKING.COM,19/6/2019,20/6/2019,TPLSTD,Confirmada,RO,X_BAR_NR,9/9/2018,3,,,ONL,ONL,,XML
4340090,AGODA COMPANY PTE,19/6/2019,25/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,10/9/2018,2,,,ONL,ONL,SG,XML
4360791,WEB H10,15/6/2019,20/6/2019,DBLSTDST,Confirmada,RO,W_BAR_ROM,15/9/2018,2,,,DIR,DIR,ES,WEB
4407977,HOTELBEDS SWITZERLAND AG,23/6/2019,27/6/2019,DBLSTD,Confirmada,BB,F_W18_S19,29/9/2018,2,,,TTOO,NO,CH,EMAIL
4434965,AGODA COMPANY PTE,15/6/2019,16/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,6/10/2018,2,,,ONL,ONL,SG,XML
